# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
300           	GAMG	1.281440e-01	1.209610e-02	2	true
301           	GAMG	1.275340e-01	1.203930e-02	2	true
302           	GAMG	1.269280e-01	1.200370e-02	2	true
303           	GAMG	1.262950e-01	1.197560e-02	2	true
304           	GAMG	1.255950e-01	1.193420e-02	2	true
305           	GAMG	1.249360e-01	1.187160e-02	2	true
306           	GAMG	1.243800e-01	1.179650e-02	2	true
307           	GAMG	1.238580e-01	1.172290e-02	2	true
308           	GAMG	1.234060e-01	1.166010e-02	2	true
309           	GAMG	1.230050e-01	1.160660e-02	2	true
310           	GAMG	1.226200e-01	1.155720e-02	2	true
311           	GAMG	1.222410e-01	1.150990e-02	2	true
312           	GAMG	1.218560e-01	1.146250e-02	2	true
313           	GAMG	1.214860e-01	1.142050e-02	2	true
314           	GAMG	1.211500e-01	1.138240e-02	2	true
315           	GAMG	1.208240e-01	1.134340e-02	2	true
316           	GAMG	1.205230e-01	1.130430e-02	2	true
317           	GAMG	1.202380e-01	1.131520e-02	2	true
318           	GAMG	1.203570e-01	1.128030e-02	2	true
319           	GAMG	1.209830e-01	1.136310e-02	2	true
320           	GAMG	1.189560e-01	1.118700e-02	2	true
321           	GAMG	1.171300e-01	1.103770e-02	2	true
322           	GAMG	1.164100e-01	1.095130e-02	2	true
323           	GAMG	1.157280e-01	1.087470e-02	2	true
324           	GAMG	1.144110e-01	1.073780e-02	2	true
325           	GAMG	1.142990e-01	1.070570e-02	2	true
326           	GAMG	1.141790e-01	1.068080e-02	2	true
327           	GAMG	1.140720e-01	1.065840e-02	2	true
328           	GAMG	1.139840e-01	1.063360e-02	2	true
329           	GAMG	1.139170e-01	1.060590e-02	2	true
330           	GAMG	1.138400e-01	1.056860e-02	2	true
331           	GAMG	1.137690e-01	1.053570e-02	2	true
332           	GAMG	1.135480e-01	1.046700e-02	2	true
333           	GAMG	1.134670e-01	1.042550e-02	2	true
334           	GAMG	1.134060e-01	1.038200e-02	2	true
335           	GAMG	1.132900e-01	1.033980e-02	2	true
336           	GAMG	1.131580e-01	1.029470e-02	2	true
337           	GAMG	1.130130e-01	1.024750e-02	2	true
338           	GAMG	1.128400e-01	1.020330e-02	2	true
339           	GAMG	1.126100e-01	1.016070e-02	2	true
340           	GAMG	1.123280e-01	1.011550e-02	2	true
341           	GAMG	1.119660e-01	1.005800e-02	2	true
342           	GAMG	1.115550e-01	9.992890e-03	2	true
343           	GAMG	1.110620e-01	9.929050e-03	2	true
344           	GAMG	1.106350e-01	9.879850e-03	2	true
345           	GAMG	1.102840e-01	9.842910e-03	2	true
346           	GAMG	1.100650e-01	9.815040e-03	2	true
347           	GAMG	1.099570e-01	9.790750e-03	2	true
348           	GAMG	1.098910e-01	9.770430e-03	2	true
349           	GAMG	1.097750e-01	9.756930e-03	2	true
350           	GAMG	1.095550e-01	9.746310e-03	2	true
351           	GAMG	1.092300e-01	9.733420e-03	2	true
352           	GAMG	1.089190e-01	9.722620e-03	2	true
353           	GAMG	1.087020e-01	9.720320e-03	2	true
354           	GAMG	1.085090e-01	9.723220e-03	2	true
355           	GAMG	1.082960e-01	9.720780e-03	2	true
356           	GAMG	1.080070e-01	9.702470e-03	2	true
357           	GAMG	1.076760e-01	9.669710e-03	2	true
358           	GAMG	1.073420e-01	9.676930e-03	2	true
359           	GAMG	1.077340e-01	9.660070e-03	2	true
360           	GAMG	1.073870e-01	9.618950e-03	2	true
361           	GAMG	1.070550e-01	9.622100e-03	2	true
362           	GAMG	1.075320e-01	9.608030e-03	2	true
363           	GAMG	1.071840e-01	9.565680e-03	2	true
364           	GAMG	1.067920e-01	9.525620e-03	2	true
365           	GAMG	1.063780e-01	9.487170e-03	2	true
366           	GAMG	1.058730e-01	9.447250e-03	2	true
367           	GAMG	1.053190e-01	9.409640e-03	2	true
368           	GAMG	1.047410e-01	9.381980e-03	2	true
369           	GAMG	1.042320e-01	9.372580e-03	2	true
370           	GAMG	1.037760e-01	9.385170e-03	2	true
371           	GAMG	1.033610e-01	9.415090e-03	2	true
372           	GAMG	1.030030e-01	9.447670e-03	2	true
373           	GAMG	1.025610e-01	9.468600e-03	2	true
374           	GAMG	1.020290e-01	9.469090e-03	2	true
375           	GAMG	1.014150e-01	9.447080e-03	2	true
376           	GAMG	1.007450e-01	9.403490e-03	2	true
377           	GAMG	1.001190e-01	9.347860e-03	2	true
378           	GAMG	9.952650e-02	9.281540e-03	2	true
379           	GAMG	9.890530e-02	9.209210e-03	2	true
380           	GAMG	9.826910e-02	9.134030e-03	2	true
381           	GAMG	9.762020e-02	9.060790e-03	2	true
382           	GAMG	9.690640e-02	8.996380e-03	2	true
383           	GAMG	9.613670e-02	8.941120e-03	2	true
384           	GAMG	9.532030e-02	8.897010e-03	2	true
385           	GAMG	9.450940e-02	8.862150e-03	2	true
386           	GAMG	9.362210e-02	8.779730e-03	2	true
387           	GAMG	9.196280e-02	8.667860e-03	2	true
388           	GAMG	9.030220e-02	8.557840e-03	2	true
389           	GAMG	8.880240e-02	8.506340e-03	2	true
390           	GAMG	8.799870e-02	8.485760e-03	2	true
391           	GAMG	8.716750e-02	8.461110e-03	2	true
392           	GAMG	8.634290e-02	8.431100e-03	2	true
393           	GAMG	8.564560e-02	8.392020e-03	2	true
394           	GAMG	8.485570e-02	8.337370e-03	2	true
395           	GAMG	8.405370e-02	8.264140e-03	2	true
396           	GAMG	8.323490e-02	8.177870e-03	2	true
397           	GAMG	8.235220e-02	8.078100e-03	2	true
398           	GAMG	8.144320e-02	7.970530e-03	2	true
399           	GAMG	8.055640e-02	7.861970e-03	2	true
400           	GAMG	7.968270e-02	7.748920e-03	2	true
401           	GAMG	7.831650e-02	7.607210e-03	2	true
402           	GAMG	7.755710e-02	7.524760e-03	2	true
403           	GAMG	7.685450e-02	7.454500e-03	2	true
404           	GAMG	7.615630e-02	7.393210e-03	2	true
405           	GAMG	7.550080e-02	7.342270e-03	2	true
406           	GAMG	7.485650e-02	7.295340e-03	2	true
407           	GAMG	7.417530e-02	7.248340e-03	2	true
408           	GAMG	7.349200e-02	7.198350e-03	2	true
409           	GAMG	7.283580e-02	7.147780e-03	2	true
