"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
48.857,-0.0083452,-2.5584e-06,-0.017927,0,0,0,2.8466e-05,4.3972e-05,0,1258.8,-0.011375,-0.011353,3.2122e-05,9.6689e-09,6.979e-05,0.74766,0.050748,0.022527,0,0.064161
47.127,-0.0080548,-3.0436e-06,-0.017645,0,0,0,2.8569e-05,4.4281e-05,0,1387.4,-0.011349,-0.011313,3.1652e-05,1.234e-08,7.1325e-05,0.7283,0.050958,0.022616,0,0.064351
45.027,-0.0077024,-3.6324e-06,-0.017302,0,0,0,2.8694e-05,4.4654e-05,0,1543.4,-0.011318,-0.011265,3.1081e-05,1.5582e-08,7.3188e-05,0.70481,0.051212,0.022724,2.068e-25,0.064582
53.794,-0.0067882,-4.3164e-06,-0.016384,0,0,0,2.5243e-05,4.2882e-05,0,1694.1,-0.011269,-0.011196,3.0039e-05,1.9299e-08,7.4122e-05,0.6105,0.051681,0.022915,1.034e-25,0.065009
52.623,-0.0070736,-4.9445e-06,-0.017028,0,0,0,2.8468e-05,4.6088e-05,0,1553.5,-0.011252,-0.011182,2.982e-05,2.0661e-08,7.3089e-05,0.68854,0.051797,0.022961,0,0.065116
49.022,-0.0079513,-6.8759e-06,-0.01901,0,0,0,3.8387e-05,5.5945e-05,0,1121.1,-0.011201,-0.011138,2.9148e-05,2.4849e-08,6.991e-05,0.92851,0.052154,0.023101,0,0.065445
40.744,-0.007745,-8.0507e-06,-0.018777,0,0,0,4.038e-05,5.8361e-05,0,1114,-0.011155,-0.011101,2.9382e-05,2.9589e-08,6.771e-05,0.95483,0.052632,0.023279,0,0.065889
43.504,-0.0059076,-7.177e-06,-0.016058,0,0,0,2.6425e-05,4.603e-05,0,1890.1,-0.011113,-0.011023,2.7696e-05,3.4195e-08,7.501e-05,0.60575,0.053116,0.023451,0,0.06634
47.063,-0.0055233,-7.7663e-06,-0.016036,0,0,0,2.5099e-05,4.4117e-05,0,1942,-0.01107,-0.010943,2.5949e-05,3.7339e-08,7.684e-05,0.57692,0.053411,0.02355,0,0.066619
49.389,-0.005272,-8.1516e-06,-0.016021,0,0,0,2.4233e-05,4.2867e-05,0,1975.9,-0.011041,-0.010892,2.4806e-05,3.9395e-08,7.8036e-05,0.55808,0.053605,0.023615,0,0.066801
44.367,-0.0061256,-1.1758e-05,-0.018269,0,0,0,4.0769e-05,5.734e-05,0,1223,-0.01096,-0.010736,2.383e-05,4.4485e-08,7.0069e-05,0.9218,0.054099,0.023774,0,0.067269
43.777,-0.0061245,-1.187e-05,-0.018249,0,0,0,4.1146e-05,5.7781e-05,0,1213.7,-0.010956,-0.010729,2.3835e-05,4.4788e-08,6.9705e-05,0.92878,0.054133,0.023784,2.5849e-26,0.067302
35.727,-0.0061104,-1.3397e-05,-0.017984,0,0,0,4.6282e-05,6.3803e-05,0,1086.1,-0.0109,-0.010631,2.3913e-05,4.8923e-08,6.4739e-05,1.024,0.054599,0.023924,0,0.067746
35.182,-0.004942,-1.2149e-05,-0.015739,0,0,0,3.2292e-05,5.2918e-05,0,1484.6,-0.01086,-0.010629,2.3459e-05,5.1799e-08,6.5482e-05,0.73384,0.055104,0.024065,0,0.068231
34.483,-0.0037068,-1.0838e-05,-0.01375,0,0,0,2.1073e-05,4.4628e-05,0,2345.3,-0.010796,-0.010391,1.9956e-05,5.7655e-08,7.1586e-05,0.48137,0.055616,0.024198,0,0.068725
38.21,-0.0030769,-1.2054e-05,-0.013392,0,0,0,2.0104e-05,4.4544e-05,0,2323.3,-0.010723,-0.010039,1.6228e-05,6.291e-08,7.0018e-05,0.47367,0.056135,0.024323,0,0.069229
37.436,-0.0031431,-1.2902e-05,-0.013693,0,0,0,2.3681e-05,4.7664e-05,0,2152.7,-0.010709,-0.0099918,1.5946e-05,6.3615e-08,6.8339e-05,0.5451,0.056226,0.024343,0,0.069317
33.733,-0.0034597,-1.6962e-05,-0.015136,0,0,0,4.0807e-05,6.2599e-05,0,1336.2,-0.010646,-0.0097652,1.4594e-05,6.6989e-08,6.0298e-05,0.88709,0.056661,0.02444,0,0.069742
26.259,-0.0033414,-1.9466e-05,-0.014627,0,0,0,5.1966e-05,7.0996e-05,0,1075.3,-0.010584,-0.009429,1.3966e-05,7.107e-08,5.263e-05,1.0841,0.057198,0.024548,0,0.070267
25.137,-0.0026215,-1.873e-05,-0.012656,0,0,0,4.1874e-05,6.1838e-05,0,1260.3,-0.010536,-0.0090889,1.2762e-05,7.4081e-08,4.9067e-05,0.89727,0.057742,0.024645,0,0.070804
22.464,-0.0020854,-1.829e-05,-0.011296,0,0,0,3.4482e-05,5.645e-05,0,1436.2,-0.010487,-0.0088616,1.0983e-05,7.7255e-08,4.6813e-05,0.76211,0.058261,0.024726,0,0.071316
22.295,-0.0020516,-1.8263e-05,-0.011211,0,0,0,3.4016e-05,5.6111e-05,0,1447.3,-0.010484,-0.0088472,1.0871e-05,7.7454e-08,4.6671e-05,0.7536,0.058293,0.024731,0,0.071348
22.233,-0.0020405,-1.8251e-05,-0.011177,0,0,0,3.3883e-05,5.5983e-05,0,1451.3,-0.010483,-0.0088441,1.0833e-05,7.7507e-08,4.6585e-05,0.75118,0.058305,0.024732,0,0.071359
19.324,-0.0015242,-1.7718e-05,-0.0096043,0,0,0,2.7677e-05,5.0039e-05,0,1638.5,-0.010437,-0.0086989,9.0746e-06,7.9961e-08,4.2598e-05,0.63838,0.058846,0.024806,0,0.071896
16.502,-0.0010847,-1.6931e-05,-0.0080311,0,0,0,2.2097e-05,4.449e-05,0,1856.5,-0.010394,-0.0087732,7.3496e-06,8.1315e-08,3.7956e-05,0.53578,0.059395,0.024869,0,0.072441
13.955,-0.00072007,-1.5619e-05,-0.0064668,0,0,0,1.649e-05,3.7414e-05,0,2192.1,-0.010359,-0.0090332,5.8962e-06,8.1341e-08,3.3175e-05,0.42685,0.059934,0.024917,8.2718e-25,0.072977
12.278,-0.00042855,-1.3671e-05,-0.0048048,0,0,0,1.0387e-05,2.9015e-05,0,3020.2,-0.010326,-0.0087411,4.1711e-06,8.2784e-08,2.8592e-05,0.29305,0.060459,0.024954,0,0.073501
11.804,-0.00027551,-1.5148e-05,-0.0040356,0,0,0,9.9129e-06,2.7923e-05,0,2702.8,-0.010301,-0.0079706,2.9825e-06,8.3983e-08,2.2682e-05,0.31587,0.060969,0.024979,0,0.074011
