"Co","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","p","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
36.091,0,0,0,2.1574e-05,2.4588e-05,0,1638,-0.015871,-6.8449e-05,5.4495e-06,1.7883e-05,0.55392,-0.01555,0.015422,-0.0012059,-0.00021042,0.025802,0.0031026,0,0.010194
22.084,0,0,0,1.1e-05,1.2899e-05,0,1444.7,-0.015752,-3.3273e-05,5.8195e-06,1.4667e-05,0.41873,-0.015434,0.0078162,-0.0013721,-7.2116e-05,0.026355,0.003651,0,0.010269
15.524,0,0,0,6.6353e-06,7.4477e-06,0,1256,-0.015664,-4.9199e-06,6.6601e-06,1.6868e-05,0.35631,-0.015349,0.0011418,-0.0016885,-0.0004191,0.026907,0.0041958,2.068e-25,0.010355
21.745,0,0,0,1.1079e-05,1.1339e-05,0,1096.5,-0.015698,2.7664e-05,7.7593e-06,1.8434e-05,0.48496,-0.015373,-0.007863,-0.0021128,-0.0010407,0.027375,0.0046567,0,0.010438
22.751,0,0,0,1.1804e-05,1.1968e-05,0,1070.3,-0.015701,3.3036e-05,7.9287e-06,1.869e-05,0.50595,-0.015375,-0.0093468,-0.0021797,-0.0011429,0.027452,0.0047322,0,0.010452
37.604,0,0,0,1.9492e-05,2.0256e-05,0,1334,-0.01575,7.9906e-05,9.9215e-06,5.3214e-06,0.60405,-0.015394,-0.019392,-0.0024497,-0.0020162,0.027988,0.0052575,0,0.01056
54.47,0,0,0,2.2353e-05,2.4318e-05,0,2324.1,-0.015424,0.00012415,1.5102e-05,2.288e-05,0.49373,-0.015048,-0.023348,-0.0027842,-0.0047963,0.028515,0.0057712,0,0.010677
55.009,0,0,0,2.0935e-05,2.3158e-05,0,2335.2,-0.015142,0.00012418,1.6957e-05,2.8661e-05,0.47264,-0.014773,-0.023054,-0.0031761,-0.0051115,0.028787,0.0060349,0,0.010742
55.323,0,0,0,1.9568e-05,2.1967e-05,0,2345.2,-0.014863,0.00012399,1.8377e-05,3.3806e-05,0.45252,-0.014509,-0.022747,-0.0034817,-0.0053854,0.029033,0.0062745,0,0.010802
43.999,0,0,0,1.503e-05,1.7475e-05,0,1482.3,-0.014532,8.6594e-05,1.7378e-05,1.12e-05,0.49716,-0.014198,-0.019453,-0.0040709,-0.0030265,0.029545,0.0067681,2.068e-25,0.010935
39.373,0,0,0,1.3818e-05,1.627e-05,0,1168,-0.014424,7.1474e-05,1.6326e-05,8.0058e-06,0.53896,-0.014092,-0.018373,-0.0043162,-0.002789,0.029941,0.0071486,0,0.011045
38.054,0,0,0,1.3464e-05,1.5901e-05,0,1081.8,-0.014389,6.7267e-05,1.5968e-05,7.1166e-06,0.55006,-0.014059,-0.018064,-0.0043671,-0.002722,0.03005,0.007253,0,0.011076
