"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
123.73,0.05585,-2.5974e-05,-0.00418,0.00034671,0,2332.5,-0.012191,-0.00031112,1.3793e-07,9.6613e-05,1.8923,0.019089,0.0056661,0,0.0026516
80.428,0.03764,-2.8376e-05,-0.0039568,0.00017903,0,1491.2,-0.011729,-0.00016355,1.216e-07,7.2979e-05,1.6754,0.019602,0.0061646,0,0.002773
67.713,0.029791,-2.9697e-05,-0.0032278,0.00013735,0,1330.5,-0.011696,-0.00012491,1.1992e-07,6.481e-05,1.4846,0.019801,0.0063568,0,0.002824
48.004,0.017626,-3.1745e-05,-0.0020979,7.2745e-05,0,1081.4,-0.011644,-6.5017e-05,1.1731e-07,5.215e-05,1.1888,0.020109,0.0066548,0,0.002903
41.902,0.0061841,-3.8311e-05,-0.0025828,4.6742e-05,0,1146.7,-0.011762,-2.0932e-05,1.4891e-07,4.0202e-05,0.93493,0.020377,0.0069127,0,0.0029766
36.579,-0.0037981,-4.4039e-05,-0.0030058,2.4058e-05,0,1203.7,-0.011865,1.7528e-05,1.7648e-07,2.978e-05,0.71344,0.020611,0.0071378,0,0.0030408
56.829,-0.020455,-7.3707e-05,-0.0070422,2.5301e-05,0,1971.1,-0.011761,0.00010327,3.7717e-07,4.718e-05,0.55642,0.021109,0.0076127,2.068e-25,0.0031892
63.877,-0.026056,-9.8251e-05,-0.0069649,2.9708e-05,0,1919.1,-0.011512,0.00013055,4.7175e-07,5.0222e-05,0.62596,0.021468,0.0079541,0,0.003302
66.497,-0.028137,-0.00010738,-0.0069362,3.1346e-05,0,1899.8,-0.01142,0.00014069,5.0691e-07,5.1353e-05,0.65182,0.021602,0.008081,0,0.003344
52.327,-0.029314,-0.00012335,-0.0034558,2.9743e-05,0,1124.5,-0.011236,0.00011669,4.5415e-07,1.1875e-05,0.8071,0.022091,0.008542,0,0.003506
53.542,-0.028325,-0.00012037,-0.0031447,2.8803e-05,0,1135.8,-0.011162,0.00011205,4.4343e-07,6.9078e-06,0.7925,0.022219,0.0086625,0,0.0035509
56.905,-0.025589,-0.0001121,-0.0022835,2.6202e-05,0,1167.1,-0.010957,9.9199e-05,4.1376e-07,-6.8432e-06,0.75209,0.022575,0.0089958,0,0.0036751
53.478,-0.018856,-9.1995e-05,-0.0033805,1.679e-05,0,1883.4,-0.010567,8.9112e-05,4.3531e-07,9.5698e-07,0.47387,0.023055,0.0094413,0,0.0038527
32.646,-0.014015,-8.7991e-05,-0.0039336,7.8767e-06,0,1789.2,-0.010339,6.6381e-05,4.0686e-07,1.1039e-05,0.33202,0.02353,0.0098791,0,0.0040369
24.363,-0.011908,-8.5197e-05,-0.0034089,6.6648e-06,0,1012.7,-0.010284,4.3216e-05,3.0227e-07,7.3924e-06,0.4057,0.024,0.010309,0,0.0042267
27.223,-0.010895,-6.7222e-05,-0.0037337,5.7829e-06,0,964.14,-0.010255,3.7383e-05,2.2822e-07,1.024e-05,0.38631,0.024466,0.010732,0,0.0044218
26.166,-0.0086772,-5.3151e-05,-0.0033904,3.5932e-06,0,1390,-0.010239,3.5856e-05,2.2023e-07,1.0402e-05,0.25216,0.024927,0.011148,0,0.0046235
23.809,-0.0077617,-4.8707e-05,-0.0032301,2.8443e-06,0,1614.3,-0.010231,3.4456e-05,2.1581e-07,1.1307e-05,0.20873,0.025181,0.011374,0,0.0047395
