# y+ ()       
# Time        	patch         	min           	max           	average       
21            	obstacle	7.610273e-02	8.885934e+01	3.672884e+01
21.5          	bottom	3.971251e-02	4.490666e+02	1.634992e+02
21.5          	frontAndBack	1.253945e-01	2.298930e+02	6.468768e+01
21.5          	obstacle	4.545094e-02	8.681194e+01	3.678241e+01
22            	bottom	4.924534e-02	4.468903e+02	1.625710e+02
22            	frontAndBack	2.401337e-01	2.210173e+02	6.455749e+01
22            	obstacle	5.636111e-02	8.578572e+01	3.674029e+01
22.5          	bottom	5.560691e-02	4.441871e+02	1.615859e+02
22.5          	frontAndBack	2.400085e-01	2.104868e+02	6.448477e+01
22.5          	obstacle	6.364211e-02	8.535004e+01	3.682327e+01
23            	bottom	4.022014e-02	4.411834e+02	1.607163e+02
23            	frontAndBack	2.535008e-01	2.180923e+02	6.434102e+01
23            	obstacle	4.603246e-02	8.600993e+01	3.717825e+01
23.5          	bottom	4.148841e-02	4.397476e+02	1.600544e+02
23.5          	frontAndBack	1.412322e-01	2.335855e+02	6.441180e+01
23.5          	obstacle	4.748378e-02	8.679401e+01	3.738674e+01
24            	bottom	1.643653e-02	4.380395e+02	1.595390e+02
24            	frontAndBack	2.387214e-01	2.297445e+02	6.451442e+01
24            	obstacle	1.881177e-02	8.714623e+01	3.744093e+01
24.5          	bottom	1.392438e-02	4.366641e+02	1.591633e+02
24.5          	frontAndBack	1.696573e-01	2.095171e+02	6.452211e+01
24.5          	obstacle	1.593665e-02	8.716340e+01	3.742858e+01
25            	bottom	2.817969e-02	4.354806e+02	1.588306e+02
25            	frontAndBack	2.086014e-01	2.290666e+02	6.454895e+01
25            	obstacle	3.225206e-02	8.834918e+01	3.769105e+01
25.5          	bottom	1.337047e-02	4.337866e+02	1.585075e+02
25.5          	frontAndBack	1.853590e-01	2.403380e+02	6.453344e+01
25.5          	obstacle	1.530222e-02	8.903557e+01	3.788448e+01
26            	bottom	7.956011e-03	4.315946e+02	1.583116e+02
26            	frontAndBack	1.967267e-01	2.302315e+02	6.462751e+01
26            	obstacle	9.105710e-03	8.899283e+01	3.785534e+01
26.5          	bottom	2.527152e-02	4.298203e+02	1.582582e+02
26.5          	frontAndBack	1.976680e-01	2.167833e+02	6.459120e+01
26.5          	obstacle	2.892361e-02	8.875374e+01	3.784342e+01
27            	bottom	4.000355e-02	4.267875e+02	1.581988e+02
27            	frontAndBack	2.308562e-01	2.218236e+02	6.458936e+01
27            	obstacle	4.578447e-02	8.909391e+01	3.797586e+01
27.5          	bottom	5.622569e-02	4.239294e+02	1.581737e+02
27.5          	frontAndBack	2.040313e-01	2.366215e+02	6.465419e+01
27.5          	obstacle	6.434903e-02	8.892976e+01	3.806176e+01
28            	bottom	1.346783e-02	4.221207e+02	1.582008e+02
28            	frontAndBack	1.652950e-01	2.350766e+02	6.468134e+01
28            	obstacle	1.541407e-02	8.941886e+01	3.816253e+01
28.5          	bottom	1.905835e-02	4.218059e+02	1.581997e+02
28.5          	frontAndBack	1.995440e-01	2.271997e+02	6.462481e+01
28.5          	obstacle	2.181312e-02	8.962800e+01	3.826278e+01
29            	bottom	3.963431e-02	4.201624e+02	1.581642e+02
29            	frontAndBack	1.545111e-01	2.325431e+02	6.468449e+01
29            	obstacle	4.536147e-02	8.943299e+01	3.824654e+01
29.5          	bottom	2.987602e-02	4.191918e+02	1.581238e+02
29.5          	frontAndBack	1.970576e-01	2.254264e+02	6.469101e+01
29.5          	obstacle	3.419252e-02	8.925909e+01	3.816658e+01
30            	bottom	2.935931e-02	4.187107e+02	1.580664e+02
30            	frontAndBack	1.922410e-01	2.217309e+02	6.462505e+01
30            	obstacle	3.360129e-02	8.950860e+01	3.822085e+01
30.5          	bottom	6.608606e-02	4.178646e+02	1.579428e+02
30.5          	frontAndBack	2.286096e-01	2.349286e+02	6.471747e+01
30.5          	obstacle	7.563464e-02	8.983046e+01	3.843523e+01
31            	bottom	5.223016e-03	4.169703e+02	1.578203e+02
31            	frontAndBack	1.450341e-01	2.336225e+02	6.477986e+01
31            	obstacle	5.977794e-03	8.976543e+01	3.854715e+01
31.5          	bottom	2.670855e-02	4.181569e+02	1.576784e+02
31.5          	frontAndBack	2.080712e-01	2.222843e+02	6.471138e+01
31.5          	obstacle	3.056733e-02	8.989547e+01	3.848856e+01
32            	bottom	2.791907e-02	4.160475e+02	1.576723e+02
32            	frontAndBack	1.754249e-01	2.249348e+02	6.472237e+01
32            	obstacle	3.195278e-02	9.021925e+01	3.849229e+01
